n,p,v,corpus
資源,を,格納する,ted
我々,が,呼ぶ,ted
こと,を,理解しない,ted
蜜蜂,が,消す,ted
姿,を,消す,ted
裏庭,で,撮影する,ted
生態,を,撮影する,ted
企画,を,通す,ted
コマ,を,垣間見る,ted
命,が,脅かされる,ted
壁蝨,に,脅かされる,ted
私達,が,直面する,ted
解決法,を,語る,ted
キュレーター,に,迎える,ted
マガジン,を,迎える,ted
図書館,に,行く,ted
本,を,読む,ted
専門家,に,なれる,ted
図書館,を,見つけられる,ted
為,に,費やす,ted
日々,を,費やす,ted
アオイ,を,編む,ted
製品,を,作る,ted
プライバシー,を,守る,ted
プロジェクト,が,ある,ted
為,に,協働する,ted
作戦,が,行き過ぎる,ted
山,を,丸ごと,ted
源,を,作る,ted
次,に,お見せしたい,ted
ロボット,に,飛行させる,ted
距離,を,飛行させる,ted
研究所,で,行う,ted
ヘッドホン,を,使う,ted
ビール,を,テイスティングする,ted
評価,を,する,ted
こと,を,考える,ted
前,に,囲まれる,ted
枠,で,囲まれる,ted
ポケット,に,入る,ted
話,を,する,ted
こと,を,試す,ted
成り行き,を,見守る,ted
部屋,を,満たし,ted
会話,を,する,ted
政府,が,救う,ted
システム,を,救う,ted
ツール,を,用いる事,ted
課題,に,用いる事,ted
模式図,に,似る,ted
言葉,で,デザインされる,ted
槍玉,に,上がる,ted
文章,を,除く,ted
勉強,に,つく,ted
草原,を,渇望する,ted
雨,が,降る,ted
大声,を,上げる,ted
こと,が,変える,ted
有り様,を,変える,ted
データ,から,見出す,ted
情報,を,見出す,ted
我々,が,作り上げる,ted
ソフトウェア,が,なる,ted
考え,が,存在する,ted
リラックス,を,促す,ted
リズム,と,呼ばれる,ted
其れ,が,なる,ted
グループ,に,なる,ted
パイ,が,増やせない,ted
夫,が,運転する,ted
車,に,乗る,ted
道,が,分かれる,ted
つ,に,分かれる,ted
つ,に,分かれる,ted
感覚,を,覚える,ted
パワー,を,する,ted
我々,が,する,ted
必要,と,する,ted
者,が,呼ぶ,ted
投資家,を,募る,ted
限界,を,越える,ted
此れ,を,解決する,ted
worldchanging,で,見つけ出す,ted
多く,に,共通する,ted
特性,が,ある,ted
理解,と,言う,ted
言葉,を,聞き取る,ted
自分,に,言う,ted
勢い,が,増し,ted
要,と,なる,ted
こと,が,制約する,ted
想像力,を,制約する,ted
兎,が,動く,ted
物体,が,動く,ted
速度,で,動く,ted
岩,が,ぶつかる,ted
市民,が,持つ,ted
力,を,持つ,ted
治療,を,受ける,ted
病状,を,しない,ted
公,に,しない,ted
法律,が,保護せず,ted
達,と,歩く,ted
ビーチ,を,歩く,ted
扱い,を,受ける,ted
原動力,に,使う,ted
ドリル,を,使う,ted
人々,が,苦しむ,ted
不足,に,苦しむ,ted
資源,が,得られない,ted
ガイド,に,載ってない,ted
1,に,渡る,ted
熱気球,で,渡る,ted
洋,を,渡る,ted
中,を,飛ぶ,ted
熱気球,を,作る,ted
ジェット気流,に,突入する,ted
ジェット気流,に,突入する,ted
中,で,持ちこたえられる,ted
雨,に,なる,ted
最後,に,話す,ted
移住者,から,なる,ted
誰,が,所有する,ted
土地,を,所有する,ted
名,を,知る,ted
私,を,拘束する,ted
セット,から,選ぶ,ted
科学者,が,集まる,ted
サンフランシスコ,に,集まる,ted
固まり,で,表される,ted
其れ,を,入れる,ted
御覧,に,入れる,ted
対称性,に,なる,ted
目,が,移る,ted
瞬間,に,消し始める,ted
二人,を,消し始める,ted
歴史,を,得る,ted
君,が,指定する,ted
基準,に,合わない,ted
芸術品,を,選ぶだけで,ted
大衆,が,纏わる,ted
作品,に,纏わる,ted
物語,を,学ぶ,ted
環境,を,作る,ted
そこ,に,配置する,ted
作品,を,配置する,ted
哲学,が,生きる,ted
何,が,起こる,ted
性,が,ある,ted
人,が,踊らされる,ted
種類,と,比べる,ted
そこ,で,見る,ted
細胞,を,見る,ted
考え,を,代弁する,ted
ボタン,が,押される,ted
電圧,が,加わる,ted
操作,が,なる,ted
目,を,覚ます,ted
結果,に,なる,ted
御陰,で,解決する,ted
問題,が,解決する,ted
考え,を,普及する,ted
原理主義,を,想起させる,ted
セーター,を,着る,ted
真ん中,に,いる,ted
マリアーヌ,が,纏める,ted
会話,を,纏める,ted
一言,で,纏める,ted
確率,を,利用しない,ted
こと,に,過ぎる,ted
始まり,に,過ぎる,ted
成分,で,出来る,ted
子供,が,ならないかな,ted
物,に,なる,ted
立案,を,手伝う,ted
提案,に,飛び付く,ted
私達,が,する,ted
結果,を,左右出来る,ted
物語,を,語れない,ted
状況,に,対抗する,ted
スコットランド,へ,行く,ted
目的,に,使われる,ted
データ,を,盗む,ted
お金,を,盗む,ted
熊,が,保護される,ted
彼,が,言う,ted
アパート,に,貯え過ぎる,ted
お金,を,貯え過ぎる,ted
鬱,に,なる,ted
毎,に,走査する,ted
全天,を,走査する,ted
此れ,を,見せる,ted
時期,に,変わらない,ted
現代,と,変わらない,ted
人類,が,現れる,ted
注意,を,払う,ted
方向,に,動き続ける,ted
年,に,動き続ける,ted
生徒,が,理解する,ted
研究,が,受け継ぐ,ted
遺伝子,を,受け継ぐ,ted
遺伝,が,する,ted
子供,を,する,ted
具体例,で,理解する,ted
見出し,に,みられる,ted
会社,が,出来る,ted
此れ,を,見る,ted
誌,に,電話する,ted
意図,が,ある,ted
影響,を,無視する,ted
大気,に,押し流される,ted
方法,を,考えない,ted
公衆衛生,を,保つ,ted
社会,で,用いられる,ted
衣類,に,使われる,ted
さん,が,見える,ted
物,を,見える,ted
チーター,に,食べられない,ted
車,に,ひかれない,ted
教養,に,繋がる,ted
周期表,を,見る,ted
ホップ,で,育つ,ted
前,に,打ち上げる,ted
人工衛星,から,入れる,ted
画像,を,入れる,ted
手,に,入れる,ted
決まり事,を,誘う,ted
物,に,変える,ted
笑い,を,誘う,ted
此れ,が,発音しずらいって,ted
キャプチャー,と,言われる,ted
代,に,始まる,ted
データ,を,共有出来る,ted
コンピューター,を,共有する,ted
そこ,に,起こる,ted
悲劇,が,起こる,ted
火事,が,勃発する,ted
天井,から,溶け落ちる,ted
煙,が,充満する,ted
クラブ,に,充満する,ted
点,で,賛成する,ted
私達,に,賛成する,ted
フレーク,が,お見せする,ted
デモ,を,お見せする,ted
ネット,に,ある,ted
データ,を,整理する,ted
基盤,に,する,ted
データベース,に,ズームインズームアウトする,ted
発見,を,する,ted
手振り,を,使う,ted
結果,に,なる,ted
此処,から,悪化し始める,ted
歴史,を,調べる,ted
貴方,が,感じてるか,ted
何,を,感じてるか,ted
内,に,秘める,ted
アイデア,を,発表する,ted
貿易,を,重んじる,ted
ルール,を,定める,ted
切っ掛け,に,正に,ted
其れ,で,分かる,ted
計算,を,する,ted
中,で,起きる,ted
何,が,起きる,ted
特性,が,ある,ted
こと,が,なる,ted
こと,を,する,ted
任せ,に,する,ted
そこ,で,思い付く,ted
人間,に,働き掛ける,ted
視点,から,私達,ted
自身,を,見る,ted
其れ,が,関係する,ted
故,に,関係する,ted
成果,を,お話しする,ted
突然変異,を,起こす,ted
因子,を,放出する,ted
血管,を,する,ted
作る,と,する,ted
答え,を,呉れる,ted
中,を,見る,ted
光源,を,入れる,ted
中,に,入れる,ted
目的,を,果たす,ted
年,に,送金する,ted
移民,が,送金する,ted
友人,に,送金する,ted
倍,に,相当する,ted
人生,に,齎す,ted
変化,を,齎す,ted
経済,に,与える,ted
インパクト,を,与える,ted
思い遣り,に,包まれる,ted
父,が,言う,ted
人,が,買う,ted
テレビ,を,買う,ted
ラジオ,を,買う,ted
算盤,を,する,ted
手,に,する,ted
父,に,言わせる,ted
私,が,学ぶ,ted
家,で,学ぶ,ted
党派,を,跨ぐ,ted
評価,に,注目する,ted
データ,を,見る,ted
男,が,する,ted
為,に,売る,ted
彼女,を,売る,ted
数学,で,考える,ted
一目,で,分かる,ted
t,が,増加する,ted
分子,に,ある,ted
影響,が,増加する,ted
t,が,ある,ted
分母,に,ある,ted
なし,で,生きられる,ted
組織,を,取り除く,ted
はじめ,から,ある,ted
サイン,が,ある,ted
周り,に,ある,ted
皆,が,差し入れする,ted
手料理,を,差し入れする,ted
楽屋,で,食べる,ted
一緒,に,食べる,ted
こと,が,ある,ted
接続,が,できない,ted
パソコン,を,置く,ted
とも,に,置く,ted
後,に,戻る,ted
パソコン,が,集まるほど,ted
肺,と,違う,ted
生命,を,維持する,ted
質,を,向上させる為,ted
後,に,出来る,ted
腫瘍,が,出来る,ted
手術,を,受ける,ted
腫瘍,で,死ぬ,ted
人,が,する,ted
何,を,する,ted
情報,が,ある,ted
モデル,で,表す,ted
女性,で,いる,ted
大学,に,いる,ted
場所,に,いる,ted
自分,に,繋げる,ted
人,を,繋げる,ted
貧困,を,改善する,ted
発展,を,援助する,ted
トラブル,を,抱える,ted
ディズニー,が,得る,ted
アイズナー,を,得る,ted
畑,を,見る,ted
世界中,から,遣る,ted
観光客,が,遣る,ted
私達,が,取り組む,ted
此れ,に,取り組む,ted
革命,を,起こしたい,ted
状況,を,したい,ted
インタビュー,を,する,ted
現象,が,起こる,ted
水分,に,起こる,ted
運動,と,違う,ted
奥深い,に,根付く,ted
箇国,で,実施される,ted
プログラム,が,存在しひと月,ted
患者,を,見る,ted
マザー,が,働く,ted
ゲーム,を,する,ted
写真,を,見る,ted
反応,が,ある,ted
汗,が,出る,ted
調査,と,考えられる,ted
物,が,ある,ted
研究者,が,行く,ted
代わり,に,"返信し
",ted
メール,に,"返信し
",ted
最後,に,お伝えする,ted
世界,に,する,ted
贈り物,を,する,ted
解析,を,する,ted
目,を,覚まさせる,ted
機関,に,回る,ted
話,を,する,ted
機関,に,起こり始める,ted
話,を,する,ted
変化,が,起こり始める,ted
変化,が,起こり始める,ted
工場,で,働く,ted
コンベヤー,から,流れる,ted
胡瓜,を,選ぶ,ted
容器,に,入れる,ted
微塵切り,に,される,ted
酢,と,和えられる,ted
利益,を,生む,ted
農産物,が,得られる,ted
補助金,に,費やされる,ted
ポーカー,を,嗜む,ted
此処,に,ある,ted
穴,を,塞ぐ,ted
全員,が,参加する,ted
前,で,行う,ted
ドロス,を,発明する,ted
必要,が,ある,ted
構造,が,出来る,ted
一部,と,なる,ted
バス,が,近付く,ted
部,に,近付く,ted
バス,が,合流する,ted
メーンストリート,で,合流する,ted
何,が,起こる,ted
数字,で,見る,ted
写真,に,使われる,ted
人,と,会う,ted
貴方,が,生きる,ted
事,を,認識する,ted
私達,が,生きる,ted
シャーマン,が,歌う,ted
精,に,歌う,ted
物,が,ある,ted
現実,に,ある,ted
世界,で,売る,ted
靴,を,売る,ted
紛争,が,なる,ted
問題,と,なる,ted
小平,が,出る,ted
中国,に,齎す,ted
お金,を,齎す,ted
中国,を,引き戻す,ted
本流,に,引き戻す,ted
文化,が,与える,ted
物,が,ある,ted
海中,から,向ける,ted
魅力,に,向ける,ted
レンズ,を,向ける,ted
驚き,に,満ちる,ted
写真,を,共有する,ted
目,に,映る,ted
イメージ,が,持つ,ted
人,を,動かす,ted
力,を,持つ,ted
世界,と,向き合うか,ted
事,を,カミングアウトする事,ted
アリ,が,する,ted
何,を,する,ted
車,が,切られる,ted
チケット,を,切られる,ted
例,で,見る,ted
外,で,起きる,ted
現場,に,向かってる,ted
箱,を,携帯する,ted
切除,を,受ける,ted
違い,を,教える,ted
外,に,住む,ted
話,に,入る,ted
骨格,を,発見したい,ted
其れ,が,買収する,ted
miramax,を,買収する,ted
制限,で,知られる,ted
会社,が,得る,ted
ディズニー,から,得る,ted
何,を,得る,ted
料理,を,する,ted
脳,が,なる,ted
食生活,から,始まり,ted
地域,に,引く,ted
目,を,引く,ted
イベント,が,出来るほど,ted
こと,が,ある,ted
そこ,で,行われる,ted
事,に,賛同する,ted
人々,が,合わせられる,ted
力,を,合わせられる,ted
事,を,起こす,ted
私,が,考える,ted
さん,が,考える,ted
リスク,を,覚悟,ted
アイデア,を,試す,ted
中国,に,ある,ted
センター,が,ある,ted
市場,が,ある,ted
言葉,が,打つ,ted
胸,を,打つ,ted
自身,が,苦しめられる,ted
症,に,苦しめられる,ted
病院,で,亡くなる,ted
物,に,なる,ted
経済,と,呼ばれる,ted
物,から,移り変わる,ted
経済,と,呼ぶ,ted
こと,を,提唱する,ted
こと,に,なる,ted
数学,が,なる,ted
必須,と,なる,ted
時,に,生まれる,ted
喪失感,が,生まれる,ted
気持ち,が,分かる,ted
操作,を,する,ted
市場,を,開拓する,ted
こと,を,する,ted
子供,が,祝福される,ted
此処,に,いる,ted
男性,が,いる,ted
所,で,止まる,ted
科学者,が,示す,ted
モデル,を,作る,ted
例え,を,示す,ted
我々,が,使う,ted
仕事,で,使う,ted
コマーシャル,に,使われる,ted
臓器,を,持ち上げる事,ted
最初,に,お話す,ted
説明,を,する,ted
必要,と,する,ted
現象,が,なる,ted
僕,が,見る,ted
質問,を,抱える,ted
社会,で,残す,ted
証,を,残す,ted
道具,を,持つ,ted
ポスター,を,作る,ted
流行,に,乗る,ted
解析,を,完了出来る,ted
手掛かり,を,与える,ted
私,が,間違う,ted
こと,に,気付く,ted
度,に,聞きたい,ted
度,に,聞きたい,ted
其れ,に,表す,ted
本質,を,表す,ted
ハンガー,で,纏め,ted
其れ,を,纏め,ted
年,で,変わるか,ted
価値観,が,変わるか,ted
年,で,変わる,ted
価値観,が,変わる,ted
自分自身,に,"語り
",ted
橋,に,いる,ted
人,が,いる,ted
こと,に,付く,ted
気,が,付く,ted
等,が,渡る,ted
橋,を,渡る,ted
劇,を,遣る,ted
摘み,を,掴む,ted
左,に,回す,ted
こと,で,減らす,ted
消費量,を,減らす,ted
電報,が,生まれ,ted
インターネット,が,出来る,ted
トレー,に,ある,ted
物,が,ある,ted
改変,が,出来る,ted
改変,が,与える,ted
全体,に,与える,ted
影響,を,与える,ted
薬,が,承認される,ted
問題,が,ある,ted
こと,を,認める,ted
メモリ,に,入れる,ted
ソフトウェア,を,入れる,ted
テスト,に,テスト,ted
本当,に,買う,ted
