n,p,v,corpus
中,に,出現する,自然言語処理
表現,を,認識する,自然言語処理
尺度,を,用いる,自然言語処理
手法,を,提案する,自然言語処理
対,を,比較する,自然言語処理
判断,に,用いる,自然言語処理
記述,を,用いる,自然言語処理
集合,が,持つ,自然言語処理
判断,に,用いる,自然言語処理
距離,を,用いる,自然言語処理
尺度,を,併用する,自然言語処理
関係,を,持つ,自然言語処理
尺度,を,計算する,自然言語処理
中,から,抽出する,自然言語処理
情報,を,利用する,自然言語処理
ベース,を,構築する,自然言語処理
結果,が,一致する,自然言語処理
正解,と,一致する,自然言語処理
正解,を,含む,自然言語処理
中,に,ある,自然言語処理
分類,が,ある,自然言語処理
結果,が,得られる,自然言語処理
名詞句,が,得られる,自然言語処理
同点,で,得られる,自然言語処理
正解,を,含む,自然言語処理
結果,が,含まれる,自然言語処理
正解,に,含まれる,自然言語処理
個数,を,割る,自然言語処理
総数,で,割る,自然言語処理
個数,を,割る,自然言語処理
総数,で,割る,自然言語処理
正解,と,する,自然言語処理
分類,が,なる,自然言語処理
正解,に,なる,自然言語処理
節,で,述べる,自然言語処理
物,が,ある,自然言語処理
粒度,で,分割する,自然言語処理
粒度,で,分割する,自然言語処理
我々,が,する,自然言語処理
分割,を,する,自然言語処理
其れ,を,纏める,自然言語処理
トピック,に,纏める,自然言語処理
必要,が,ある,自然言語処理
任意,に,指定する,自然言語処理
分割,を,適用する,自然言語処理
方法,を,考える,自然言語処理
課題,と,したい,自然言語処理
粒度,に,応じる,自然言語処理
大きさ,を,設定する,自然言語処理
内,を,分割する,自然言語処理
テキスト,を,分割する,自然言語処理
方針,で,構築する,自然言語処理
コーパス,を,構築する,自然言語処理
手法,で,収集する,自然言語処理
対処,が,ある,自然言語処理
問題,と,なるii,自然言語処理
構造,を,アノテーションする,自然言語処理
括弧,で,アノテーションする,自然言語処理
論文,で,する,自然言語処理
対象,と,する,自然言語処理
問題,と,ならない,自然言語処理
必要,と,なる,自然言語処理
対処方法,を,規定する,自然言語処理
共,に,公開する,自然言語処理
量,に,応じる,自然言語処理
データ,から,得られる,自然言語処理
情報,を,利用する,自然言語処理
最大限,に,利用する,自然言語処理
物,が,ある,自然言語処理
等,を,捨象する,自然言語処理
ルール,が,得られないか,自然言語処理
値,と,なる,自然言語処理
頻度,が,下る,自然言語処理
値,が,得られる,自然言語処理
中,で,得られる,自然言語処理
パラグラフ,を,跨がる,自然言語処理
計算,を,する,自然言語処理
必要,が,ある,自然言語処理
火山,で,出来る,自然言語処理
象亀,が,住む,自然言語処理
概念,が,連想される,自然言語処理
関係,で,使う,自然言語処理
計算式,を,使う,自然言語処理
各々,で,考える,自然言語処理
特徴,に,ある,自然言語処理
計算式,を,考える,自然言語処理
必要,が,ある,自然言語処理
研究,で,提案する,自然言語処理
影響,を,調査する,自然言語処理
評価,を,行う,自然言語処理
手法,を,組み合わせる,自然言語処理
こと,で,達成する,自然言語処理
数,で,達成する,自然言語処理
向上,を,達成する,自然言語処理
手法,が,与える,自然言語処理
翻訳,に,与える,自然言語処理
影響,を,調査する,自然言語処理
翻訳者,に,依頼する,自然言語処理
評価,を,依頼する,自然言語処理
時間,に,及ぶ,自然言語処理
作業時間,で,収集される,自然言語処理
データ,を,用いる,自然言語処理
分析,を,行う,自然言語処理
効率,が,示される,自然言語処理
木,に,基づく,自然言語処理
時間,を,要する,自然言語処理
結果,が,得られる,自然言語処理
4,に,現れる,自然言語処理
アロー,に,分割出来る,自然言語処理
上,で,達成される,自然言語処理
右肩,に,付記する,自然言語処理
差,に,基づく,自然言語処理
クラス,を,する,自然言語処理
相手,と,する,自然言語処理
其れ,に,比べる,自然言語処理
判定,に,用いるか,自然言語処理
比,を,用いるか,自然言語処理
差,を,用いるか,自然言語処理
空間,を,するか,自然言語処理
可変,に,するか,自然言語処理
固定,に,するか,自然言語処理
節,で,述べる,自然言語処理
テキスト,を,する,自然言語処理
対象,と,する,自然言語処理
箇所,を,検出する,自然言語処理
こと,が,なる,自然言語処理
必要,と,なる,自然言語処理
箇所,を,削除出来る,自然言語処理
箇所,を,抽出出来る,自然言語処理
評価,が,行なわれる,自然言語処理
テキスト,から,作成される,自然言語処理
点,を,評価すべきか,自然言語処理
必要,が,ある,自然言語処理
ツール,に,成り得る,自然言語処理
過程,で,使われる,自然言語処理
活用,を,考える,自然言語処理
個人的,と,言われる,自然言語処理
過程,が,普遍化出来る,自然言語処理
モデル,が,導出出来る,自然言語処理
用途,が,分かる,自然言語処理
構造,が,求まる,自然言語処理
人手,で,調整する,自然言語処理
実験,に,用いる,自然言語処理
結果,を,示す,自然言語処理
13,に,示す,自然言語処理
翻訳,を,使用する,自然言語処理
場面,を,想定する,自然言語処理
文,を,選定する,自然言語処理
データベース,を,構築する,自然言語処理
通訳,を,介する,自然言語処理
表現,を,網羅する,自然言語処理
机上,で,作成する,自然言語処理
集,より,成る,自然言語処理
データベース,に,行う,自然言語処理
付け,を,行う,自然言語処理
辞書,を,構築する,自然言語処理
規模,を,示す,自然言語処理
とも,に,示す,自然言語処理
付け,が,行く,自然言語処理
2,が,成立する,自然言語処理
パラメーター,に,基づく,自然言語処理
複数,に,分割される,自然言語処理
正解,が,見付かる,自然言語処理
とも,に,する,自然言語処理
話題,と,する,自然言語処理
目,に,登場する,自然言語処理
話題,が,展開する,自然言語処理
情報,を,付加する,自然言語処理
話題,が,戻る,自然言語処理
そこ,から,派生する,自然言語処理
話題,が,存在する,自然言語処理
木,で,表す,自然言語処理
推移,を,表す,自然言語処理
数,を,考慮する,自然言語処理
手法,を,用いる,自然言語処理
表現,を,分析する,自然言語処理
単語,が,異なる,自然言語処理
訳文,が,存在する,自然言語処理
場合,に,起こる,自然言語処理
度,が,なる,自然言語処理
関係,を,有する,自然言語処理
表現,と,なる,自然言語処理
バリエーション,を,持つ,自然言語処理
代表,と,なる,自然言語処理
テキスト,を,抽出する,自然言語処理
流言,を,意図する,自然言語処理
機能,に,認定される,自然言語処理
違い,が,ある,自然言語処理
テキスト,を,抽出する,自然言語処理
機能,に,ある,自然言語処理
テキスト,が,含まれる,自然言語処理
毎,に,抽出する,自然言語処理
こと,と,する,自然言語処理
条件,で,抽出される,自然言語処理
表現,に,表出する,自然言語処理
繰り返し,に,なる,自然言語処理
雨,に,降られる,自然言語処理
雨,が,降る,自然言語処理
判断,が,見える,自然言語処理
なし,に,説明する,自然言語処理
判断,を,説明する,自然言語処理
分析,が,伴う例えば,自然言語処理
表情,に,表出する,自然言語処理
結果,を,示す,自然言語処理
5,に,示す,自然言語処理
詞,が,掛かる,自然言語処理
名詞,に,掛かる,自然言語処理
係り受け,が,ある,自然言語処理
フレーム,が,構築される,自然言語処理
